userName,major,researchExp,industryExp,specialization,toeflScore,program,department,toeflEssay,internExp,greV,greQ,userProfileLink,journalPubs,greA,topperCgpa,termAndYear,confPubs,ugCollege,gmatA,cgpa,gmatQ,cgpaScale,gmatV
shashishenoy89,Electrical Engineering,0,40,Computer Networks / Embedded Systems,100,MS,Electronics and Communication,25,0,145,162,http://www.edulix.com/unisearch/user.php?uid=255449,0,3,9.6,Fall - 2015,0,NMAM Institute of Technology Nitte,,9.09,,10,
brian1887,Computer Networking,0,0,Security,106,MS,Electronics and Communication,,0,144,152,http://www.edulix.com/unisearch/user.php?uid=168664,0,3.5,91,Fall - 2013,0,NMAMIT Nitte,,72,,100,
anusha.bondili,MIS,0,0,,89,MS,EC,,0,146,154,http://www.edulix.com/unisearch/user.php?uid=201334,0,3.5,0,Fall - 2015,0,NMAMIT Nitte,,8.38,,10,
ps6757,Management Information System,0,32,MIS,104,MS,Computer Science,25,0,,,http://www.edulix.com/unisearch/user.php?uid=255430,0,,9.6,Fall - 2015,0,NMAMIT VTU,4,9.1,50,10,27
panditmng,Automotive Engineering,0,0,,113,MS,Mech Engineering,,0,580,730,http://www.edulix.com/unisearch/user.php?uid=126089,0,,0,Fall - 2011,0,NMAMIT Karkala Karnataka,,8.6,,10,
girishkini63,Computer Science,0,0,,112,MS,Computer Science & Engineering,,0,153,160,http://www.edulix.com/unisearch/user.php?uid=134974,0,3.5,80,Fall - 2012,0,NMAMIT Nitte,,67,,100,
agirishc,MIS,0,0,,109,MS,Computer Science Engineering,,0,151,168,http://www.edulix.com/unisearch/user.php?uid=169443,0,4,9.92,Fall - 2014,0,NMAMIT Nitte,,9.9,,10,
krishnapavanbhat,MIS,0,0,BI and DW,108,MS,Electronics and Communication,,0,157,158,http://www.edulix.com/unisearch/user.php?uid=168052,0,3.5,85,Fall - 2013,0,NMAMIT Nitte VTU Karnataka,,63,,100,
sanjana_agarwal,Computer Engineering,0,0,networking,108,MS,Computer Engineering,25,0,440,780,http://www.edulix.com/unisearch/user.php?uid=131917,0,3.5,3.6,Fall - 2012,0,NMIMS,,3.27,,4,
ConGrUenCy,Electrical Engineering,0,0,Computational Electronics & Photonics,112,Both MS and PhD,Electronics engineering,,0,163,168,http://www.edulix.com/unisearch/user.php?uid=192846,0,4.5,3.78,Fall - 2014,0,NMIMS,,3.58,,4,
km123,Business Analytics,0,0,,109,MS,Business Management,,0,157,154,http://www.edulix.com/unisearch/user.php?uid=251500,0,3.5,0,Spring - 2015,0,NMIMS,,3.14,,4,
sp_sheth,Telecommunication,0,0,Networking,106,MS,Electronics and Telecommunications,,0,390,710,http://www.edulix.com/unisearch/user.php?uid=200408,0,4,3.8,Fall - 2013,0,NMIMS,,3.4,,4,
exclusivearj,Computer Science,0,0,,103,MS,Electronics,,0,380,710,http://www.edulix.com/unisearch/user.php?uid=86806,0,2.5,3.9,Fall - 2012,0,NMIMS,,3.32,,4,
ojamvk,Computer Science,6,0,,106,MS,IT,30,2,152,162,http://www.edulix.com/unisearch/user.php?uid=203104,0,4,3.8,Spring - 2015,0,NMIMS,,3.04,,4,
chirag186_cs,CS/SE,0,0,,104,MS,CE,29,0,610,800,http://www.edulix.com/unisearch/user.php?uid=134652,0,4,3.64,Fall - 2012,0,NMIMS,,3.07,,4,
psquare,analytics,0,0,,106,MS,Computer Engineering,,0,151,160,http://www.edulix.com/unisearch/user.php?uid=160974,0,3.5,3.6,Fall - 2013,0,NMIMS,,2.98,,4,
zeal_vyas,Electrical Engineering,0,0,Computer Networks/Telecommunications,,MS,Electronics and Telecommunication,,0,146,163,http://www.edulix.com/unisearch/user.php?uid=167817,0,3.5,3.8,Fall - 2013,0,NMIMS,,3.55,,4,
kairavimehta,Computer Science,0,0,,108,MS,IT,29,0,150,163,http://www.edulix.com/unisearch/user.php?uid=241047,0,4,3.8,Fall - 2014,0,NMIMS,,3.2,,4,
007sam007,Electrical Engg/ comp engg,0,0,,,MS,EXTC,,0,,,http://www.edulix.com/unisearch/user.php?uid=10153,0,,0,Fall - 2011,0,NMIMS,,0,,0,
